                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.97432,                0.96779,                 1.3478,                0.65652,                0.67662,                0.69629,                0.40609,                 1.5928,                 1.6341,                  1.381,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.64637,                0.70011,                 1.1784,                0.65652,                0.67662,                0.69629,                0.40609,                 1.5928,                 1.6341,                  1.381,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.78506,                0.90186,                 1.2328,                0.69056,                0.67146,                0.69636,                 0.4082,                  1.578,                  1.675,                 1.3815,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.80042,                  0.952,                 1.1211,                0.69056,                0.67146,                0.69636,                 0.4082,                  1.578,                  1.675,                 1.3815,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.0986,                 1.4453,                 1.5875,                0.69056,                0.67146,                0.69636,                 0.4082,                  1.578,                  1.675,                 1.3815,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.94346,                 1.5005,                  1.374,                0.72331,                0.50202,                0.69284,                0.40375,                 1.5856,                 1.7066,                 1.3914,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 0.8647,                 1.4546,                 1.2665,                0.72331,                0.50202,                0.69284,                0.40375,                 1.5856,                 1.7066,                 1.3914,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.78121,                0.82735,                 1.1536,                0.72331,                0.50202,                0.69284,                0.40375,                 1.5856,                 1.7066,                 1.3914,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.99688,                0.77734,                 1.5458,                 0.8556,                0.48119,                0.67795,                0.37421,                 1.6109,                 1.7738,                 1.4081,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.63481,                0.68085,                 1.0633,                 0.8556,                0.48119,                0.67795,                0.37421,                 1.6109,                 1.7738,                 1.4081,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70049,                0.89376,                 1.0455,                 0.8556,                0.48119,                0.67795,                0.37421,                 1.6109,                 1.7738,                 1.4081,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.76907,                 0.8233,                 1.1536,                0.85528,                0.47856,                0.67726,                0.37372,                 1.6414,                 1.8531,                 1.4252,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.62619,                0.65291,                  1.067,                0.85528,                0.47856,                0.67726,                0.37372,                 1.6414,                 1.8531,                 1.4252,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 0.6611,                0.68231,                 1.2162,                0.85528,                0.47856,                0.67726,                0.37372,                 1.6414,                 1.8531,                 1.4252,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.68436,                0.91555,                 1.0812,                0.85193,                0.47748,                0.67714,                0.37589,                 1.7055,                  1.911,                 1.4467,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.73665,                 1.1093,                 1.1019,                0.85193,                0.47748,                0.67714,                0.37589,                 1.7055,                  1.911,                 1.4467,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0424,                 1.7733,                 1.4056,                0.85193,                0.47748,                0.67714,                0.37589,                 1.7055,                  1.911,                 1.4467,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.64229,                 1.0955,                 1.1253,                0.84142,                 0.4864,                0.56788,                0.28283,                 1.6544,                 1.9519,                 1.4199,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.97702,                0.86595,                  1.429,                0.84142,                 0.4864,                0.56788,                0.28283,                 1.6544,                 1.9519,                 1.4199,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.94809,                 1.2882,                  1.316,                0.84142,                 0.4864,                0.56788,                0.28283,                 1.6544,                 1.9519,                 1.4199,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.59403,                0.63781,                 1.0747,                0.84034,                 0.4854,                0.54131,                0.27389,                 1.7231,                 2.0005,                 1.4446,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.68672,                0.90519,                 1.0438,                0.84034,                 0.4854,                0.54131,                0.27389,                 1.7231,                 2.0005,                 1.4446,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.72458,                 0.5937,                  1.219,                0.84034,                 0.4854,                0.54131,                0.27389,                 1.7231,                 2.0005,                 1.4446,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.72864,                0.55266,                 1.1409,                0.84021,                0.48259,                0.54721,                0.26849,                 1.7739,                 1.9938,                 1.4645,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.63407,                0.73321,                 1.1276,                0.84021,                0.48259,                0.54721,                0.26849,                 1.7739,                 1.9938,                 1.4645,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.68076,                 0.6588,                 1.1116,                0.84021,                0.48259,                0.54721,                0.26849,                 1.7739,                 1.9938,                 1.4645,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.87349,                 1.0022,                 1.1845,                0.83366,                0.48817,                 0.5442,                0.26805,                 1.7373,                 2.0126,                  1.448,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.58984,                0.74871,                 1.0842,                0.83366,                0.48817,                 0.5442,                0.26805,                 1.7373,                 2.0126,                  1.448,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.72172,                 0.7228,                 1.1805,                0.83366,                0.48817,                 0.5442,                0.26805,                 1.7373,                 2.0126,                  1.448,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.51218,                0.50361,                0.97371,                0.84247,                0.48005,                0.53436,                0.26405,                 1.7752,                 2.0553,                 1.4753,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.80743,                0.67147,                 1.1431,                0.84247,                0.48005,                0.53436,                0.26405,                 1.7752,                 2.0553,                 1.4753,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.76667,                0.82215,                 1.1969,                0.84247,                0.48005,                0.53436,                0.26405,                 1.7752,                 2.0553,                 1.4753,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.78339,                0.56569,                 1.2038,                0.84074,                0.48418,                0.53726,                0.26773,                 1.8249,                 2.0843,                 1.5019,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.56568,                0.72736,                 1.1083,                0.84074,                0.48418,                0.53726,                0.26773,                 1.8249,                 2.0843,                 1.5019,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.73573,                0.66176,                 1.1011,                0.84074,                0.48418,                0.53726,                0.26773,                 1.8249,                 2.0843,                 1.5019,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.75004,                0.79184,                 1.0497,                0.84074,                0.48418,                0.53726,                0.26773,                 1.8249,                 2.0843,                 1.5019,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.78955,                0.85709,                 1.3793,                 0.8394,                0.48346,                 0.5343,                0.28426,                 1.8327,                 2.0747,                 1.5035,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.99023,                0.92347,                 1.4794,                 0.8394,                0.48346,                 0.5343,                0.28426,                 1.8327,                 2.0747,                 1.5035,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.64881,                0.64183,                 1.0108,                 0.8394,                0.48346,                 0.5343,                0.28426,                 1.8327,                 2.0747,                 1.5035,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.45939,                0.52077,                 0.8899,                 0.8394,                0.48346,                 0.5343,                0.28426,                 1.8327,                 2.0747,                 1.5035,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.71376,                0.69858,                 0.9943,                0.83643,                0.48471,                0.53533,                0.27787,                 1.8353,                 2.0283,                 1.4881,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 0.4771,                0.45792,                0.98673,                0.83643,                0.48471,                0.53533,                0.27787,                 1.8353,                 2.0283,                 1.4881,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.55047,                0.43478,                0.88748,                0.83643,                0.48471,                0.53533,                0.27787,                 1.8353,                 2.0283,                 1.4881,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.43529,                0.45198,                0.89775,                0.83643,                0.48471,                0.53533,                0.27787,                 1.8353,                 2.0283,                 1.4881,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.43919,                0.50733,                 0.9614,                0.84125,                0.46609,                0.55784,                 0.3054,                 1.7544,                  1.955,                 1.4413,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.68953,                 0.6047,                 1.0476,                0.84125,                0.46609,                0.55784,                 0.3054,                 1.7544,                  1.955,                 1.4413,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.51757,                0.48358,                0.90883,                0.84125,                0.46609,                0.55784,                 0.3054,                 1.7544,                  1.955,                 1.4413,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.47591,                0.46399,                0.90897,                0.84125,                0.46609,                0.55784,                 0.3054,                 1.7544,                  1.955,                 1.4413,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.55755,                  0.492,                 1.0043,                0.83619,                0.46667,                0.60765,                0.33969,                 1.7079,                  1.875,                 1.4128,             2.3444e-06,             2.3444e-06,             2.3444e-06
